link,address,list_price,beds,baths,sqft
https://www.zillow.com/homedetails/100-W-Wabash-St-Berne-IN-46711/85083197_zpid/,"100 W Wabash St, Berne, IN 46711",,2,0,1080
https://www.zillow.com/homedetails/1002-Dearborn-St-Berne-IN-46711/85083731_zpid/,"1002 Dearborn St, Berne, IN 46711",,3,1.5,1700
https://www.zillow.com/homedetails/1005-Dearborn-St-Berne-IN-46711/85083711_zpid/,"1005 Dearborn St, Berne, IN 46711",,3,2,1746
https://www.zillow.com/homedetails/1005-E-Main-St-Berne-IN-46711/300206297_zpid/,"1005 E Main St, Berne, IN 46711",,0,0,4500
https://www.zillow.com/homedetails/1005-Mill-Pond-Rd-Berne-IN-46711/85083738_zpid/,"1005 Mill Pond Rd, Berne, IN 46711",,3,3,1548
https://www.zillow.com/homedetails/1005-W-Main-St-Berne-IN-46711/85090066_zpid/,"1005 W Main St, Berne, IN 46711",,3,1,1922
https://www.zillow.com/homedetails/1005-W-Water-St-Berne-IN-46711/227853855_zpid/,"1005 W Water St, Berne, IN 46711",,3,2.5,1800
https://www.zillow.com/homedetails/1006-E-Main-St-Berne-IN-46711/227855212_zpid/,"1006 E Main St, Berne, IN 46711",,4,2,2144
https://www.zillow.com/homedetails/1006-Mill-Pond-Rd-Berne-IN-46711/85083743_zpid/,"1006 Mill Pond Rd, Berne, IN 46711",,3,3,2028
https://www.zillow.com/homedetails/1006-W-Clark-St-Berne-IN-46711/85090044_zpid/,"1006 W Clark St, Berne, IN 46711",,3,1,936
https://www.zillow.com/homedetails/1011-E-State-Road-218-Berne-IN-46711/227854272_zpid/,"1011 E State Road 218, Berne, IN 46711",,1,0,1760
https://www.zillow.com/homedetails/1011-W-Water-St-Berne-IN-46711/2075437525_zpid/,"1011 W Water St, Berne, IN 46711",,3,3,1880
https://www.zillow.com/homedetails/1012-Dearborn-St-Berne-IN-46711/85083723_zpid/,"1012 Dearborn St, Berne, IN 46711",,3,1.5,1456
https://www.zillow.com/homedetails/1012-W-700-S-Berne-IN-46711/85083864_zpid/,"1012 W 700 S, Berne, IN 46711",,4,0,1848
https://www.zillow.com/homedetails/1012-W-Water-St-Berne-IN-46711/85090065_zpid/,"1012 W Water St, Berne, IN 46711",,3,2,1410
https://www.zillow.com/homedetails/1015-W-Main-St-Berne-IN-46711/85090067_zpid/,"1015 W Main St, Berne, IN 46711",,4,3,2174
https://www.zillow.com/homedetails/1017-Dearborn-St-Berne-IN-46711/85083694_zpid/,"1017 Dearborn St, Berne, IN 46711",,4,2,2157
https://www.zillow.com/homedetails/1017-Rose-Ln-Berne-IN-46711/85083700_zpid/,"1017 Rose Ln, Berne, IN 46711",,3,2,1700
https://www.zillow.com/homedetails/1017-W-Water-St-Berne-IN-46711/2069878170_zpid/,"1017 W Water St, Berne, IN 46711",,3,3,2065
https://www.zillow.com/homedetails/1018-Rose-Ln-Berne-IN-46711/85083701_zpid/,"1018 Rose Ln, Berne, IN 46711",,4,2,1428
https://www.zillow.com/homedetails/1018-W-Clark-St-Berne-IN-46711/85090034_zpid/,"1018 W Clark St, Berne, IN 46711",,3,2,1624
https://www.zillow.com/homedetails/102-W-300-S-Berne-IN-46711/227853506_zpid/,"102 W 300 S, Berne, IN 46711",,4,3.5,2308
https://www.zillow.com/homedetails/1020-Dearborn-St-Berne-IN-46711/85083732_zpid/,"1020 Dearborn St, Berne, IN 46711",,3,2,1479
https://www.zillow.com/homedetails/1020-W-Main-St-Berne-IN-46711/251677995_zpid/,"1020 W Main St, Berne, IN 46711",,1,1,728
https://www.zillow.com/homedetails/1021-E-550-S-Berne-IN-46711/227857390_zpid/,"1021 E 550 S, Berne, IN 46711",,3,2.5,1456
https://www.zillow.com/homedetails/1022-E-550-S-Berne-IN-46711/85090458_zpid/,"1022 E 550 S, Berne, IN 46711",,4,1.5,2060
https://www.zillow.com/homedetails/1023-W-Main-St-Berne-IN-46711/85090028_zpid/,"1023 W Main St, Berne, IN 46711",,3,1.5,1377
https://www.zillow.com/homedetails/1023-W-Water-St-Berne-IN-46711/85090032_zpid/,"1023 W Water St, Berne, IN 46711",,3,1.5,1676
https://www.zillow.com/homedetails/1024-Rose-Ln-Berne-IN-46711/85083690_zpid/,"1024 Rose Ln, Berne, IN 46711",,4,3.5,3258
https://www.zillow.com/homedetails/1024-W-Water-St-Berne-IN-46711/85090039_zpid/,"1024 W Water St, Berne, IN 46711",,2,1,1159
https://www.zillow.com/homedetails/1026-W-Clark-St-Berne-IN-46711/85090035_zpid/,"1026 W Clark St, Berne, IN 46711",,3,2,1449
https://www.zillow.com/homedetails/1027-W-700-S-Berne-IN-46711/85083822_zpid/,"1027 W 700 S, Berne, IN 46711",,3,2,1851
